type,lat,long,value,category
Bairros,41.13858600000001,-8.592680000000025,0,Bairros
Bairros,41.13858600000001,-8.590180000000025,0,Bairros
Bairros,41.13858600000001,-8.587680000000026,0,Bairros
Bairros,41.13858600000001,-8.585180000000026,0,Bairros
Bairros,41.13858600000001,-8.582680000000027,0,Bairros
Bairros,41.13858600000001,-8.580180000000027,0,Bairros
Bairros,41.13858600000001,-8.577680000000028,0,Bairros
Bairros,41.13858600000001,-8.575180000000028,0,Bairros
Bairros,41.13858600000001,-8.572680000000028,0,Bairros
Bairros,41.13858600000001,-8.570180000000029,0,Bairros
Bairros,41.13858600000001,-8.56768000000003,0,Bairros
Bairros,41.13858600000001,-8.56518000000003,0,Bairros
Bairros,41.13858600000001,-8.56268000000003,0,Bairros
Bairros,41.13858600000001,-8.560180000000031,0,Bairros
Bairros,41.140386000000014,-8.71268,0,Bairros
Bairros,41.140386000000014,-8.710180000000001,0,Bairros
Bairros,41.140386000000014,-8.707680000000002,0,Bairros
Bairros,41.140386000000014,-8.705180000000002,0,Bairros
Bairros,41.140386000000014,-8.702680000000003,0,Bairros
Bairros,41.140386000000014,-8.700180000000003,0,Bairros
Bairros,41.140386000000014,-8.697680000000004,0,Bairros
Bairros,41.140386000000014,-8.695180000000004,0,Bairros
Bairros,41.140386000000014,-8.692680000000005,0,Bairros
Bairros,41.140386000000014,-8.690180000000005,0,Bairros
Bairros,41.140386000000014,-8.687680000000006,0,Bairros
Bairros,41.140386000000014,-8.685180000000006,0,Bairros
Bairros,41.140386000000014,-8.682680000000007,0,Bairros
Bairros,41.140386000000014,-8.680180000000007,0,Bairros
Bairros,41.140386000000014,-8.677680000000008,0,Bairros
Bairros,41.140386000000014,-8.675180000000008,0,Bairros
Bairros,41.140386000000014,-8.672680000000009,0,Bairros
Bairros,41.140386000000014,-8.670180000000009,0,Bairros
Bairros,41.140386000000014,-8.66768000000001,0,Bairros
Bairros,41.140386000000014,-8.66518000000001,0,Bairros
Bairros,41.140386000000014,-8.66268000000001,0,Bairros
Bairros,41.140386000000014,-8.660180000000011,0,Bairros
Bairros,41.140386000000014,-8.657680000000012,0,Bairros
Bairros,41.140386000000014,-8.655180000000012,0,Bairros
Bairros,41.140386000000014,-8.652680000000013,0,Bairros
Bairros,41.140386000000014,-8.650180000000013,0,Bairros
Bairros,41.140386000000014,-8.647680000000014,0,Bairros
Bairros,41.140386000000014,-8.645180000000014,0,Bairros
Bairros,41.140386000000014,-8.642680000000015,0,Bairros
