type,lat,long,value,category
College,41.152746112363396,-8.672093118873057,1,College
College,41.177446450527015,-8.66313937635884,1,College
College,41.15273292407043,-8.63881202189986,1,College
College,41.152686959892506,-8.640888181772258,1,College
College,41.15205592814373,-8.63895828597828,1,College
College,41.152485726542025,-8.637934294212098,1,College
College,41.15183361416315,-8.636026285710003,1,College
College,41.15024589300098,-8.636391560261433,1,College
College,41.15095366323762,-8.632724934252806,1,College
College,41.15831117448687,-8.63641056853228,1,College
College,41.15067126866174,-8.642052552346637,1,College
College,41.154701801997064,-8.644491518593082,1,College
College,41.15360767362335,-8.642585999671594,1,College
College,41.16264490751672,-8.65976997661653,1,College
College,41.147674499153524,-8.623942528123013,1,College
College,41.14485810676952,-8.61845009676505,1,College
College,41.16466566390981,-8.633131937908079,1,College
College,41.17481390677449,-8.658235809503742,1,College
College,41.15200456604168,-8.616172481864645,1,College
College,41.151867076709465,-8.618267266723532,1,College
College,41.15518201864975,-8.620702145627801,1,College
College,41.15071762962579,-8.638200978398359,1,College
College,41.157983513025926,-8.630830328693797,1,College
College,41.15418475249681,-8.614426024131028,1,College
College,41.15186318425275,-8.620554270556216,1,College
College,41.14649222964542,-8.615747468994075,1,College
College,41.148580226312156,-8.614544112138448,1,College
College,41.154143810048296,-8.603570058815615,1,College
College,41.159838109843456,-8.609390723961766,1,College
College,41.15434576411348,-8.604268713237953,1,College
College,41.152315178435856,-8.60793865165385,1,College
College,41.1540839780025,-8.607525507032472,1,College
College,41.145158820692735,-8.605705489979021,1,College
College,41.14309952061886,-8.614429790291933,1,College
College,41.143097488197036,-8.607758158213041,1,College
College,41.17275590339055,-8.608584037220227,1,College
College,41.174160802783035,-8.602881223844395,1,College
College,41.17569857922899,-8.598280345456667,1,College
College,41.17310195202131,-8.611132427252741,1,College
College,41.176109078770466,-8.602082180075211,1,College
College,41.17698549193855,-8.60627964178915,1,College
College,41.17843059943399,-8.607944304257407,1,College
College,41.17924001229084,-8.606379462373251,1,College
College,41.17832361392175,-8.601216428186248,1,College
College,41.15868843811209,-8.60574228340032,1,College
College,41.147692748621694,-8.617708868717026,1,College
College,41.179261371960614,-8.600107542484318,1,College
College,41.17965188048409,-8.597274004443669,1,College
College,41.18110720148644,-8.601602286507113,1,College
College,41.181899482430055,-8.60323805347573,1,College
College,41.1813041095749,-8.596680665348183,1,College
College,41.17943878976452,-8.59540385798167,1,College
College,41.17817519090971,-8.595907225460023,1,College
College,41.18035739754183,-8.607143179475443,1,College
College,41.176723778842685,-8.581750605488923,1,College
College,41.14549393233496,-8.600466176913365,1,College
College,41.160350811025744,-8.601954210883248,1,College
College,41.16148936399855,-8.602625142979566,1,College
