time,lat,long,intensity
1550240400.0,41.160612259,-8.593339644,47.0
1550240400.0,41.14766599,-8.621315185,19.0
1550240400.0,41.164764795,-8.638299637,69.0
1550240400.0,41.162237036,-8.609409795,27.0
1550240400.0,41.16258976,-8.585198117,27.0
1550240400.0,41.152748279,-8.629554913,57.0
1550240400.0,41.147369859,-8.607427044,20.0
1550240400.0,41.147369859,-8.607427044,20.0
1550240400.0,41.156175101,-8.609280599,27.0
1550240400.0,41.167116071,-8.653050358,49.0
1550240400.0,41.162371957,-8.607796762,79.0
1550240400.0,41.162371957,-8.607796762,79.0
1550240700.0,41.148394894,-8.605364461,17.0
1550240700.0,41.16350242,-8.590106936,24.0
1550240700.0,41.14818831,-8.619779768,31.0
1550240700.0,41.164617606,-8.638706507,56.0
1550240700.0,41.164617606,-8.638706507,56.0
1550240700.0,41.151582311,-8.633550736,5.0
1550240700.0,41.16367214,-8.634812433,114.0
1550240700.0,41.161668266,-8.610595199,77.0
1550240700.0,41.160825586,-8.611578898,22.0
1550240700.0,41.162814506,-8.606720392,43.0
1550240700.0,41.160597126,-8.607924653,9.0
1550240400.0,41.163542956,-8.610940056,30.0
1550240400.0,41.153682849,-8.60468135,21.0
1550240400.0,41.14436322,-8.602712892,58.0
1550240400.0,41.148394894,-8.605364461,23.0
1550240400.0,41.14818831,-8.619779768,24.0
1550240400.0,41.145856146,-8.60080119,13.0
1550240400.0,41.145856146,-8.60080119,13.0
1550240400.0,41.164617606,-8.638706507,73.0
1550240400.0,41.151582311,-8.633550736,9.0
1550240400.0,41.16367214,-8.634812433,143.0
1550240400.0,41.167658788,-8.685827741,29.0
1550240400.0,41.14487346,-8.610923185,59.0
1550240400.0,41.145265777,-8.612094805,25.0
1550240400.0,41.149556735,-8.605197648,41.0
1550240400.0,41.148390663,-8.612908525,30.0
1550240400.0,41.145612073,-8.614788038,53.0
1550240400.0,41.162582771,-8.611476868,44.0
1550240700.0,41.148390663,-8.612908525,24.0
1550240700.0,41.16494587,-8.589229784,33.0
1550240700.0,41.164073206,-8.634834094,195.0
1550240700.0,41.164073206,-8.634834094,195.0
1550240700.0,41.164764795,-8.638299637,72.0
1550240700.0,41.152748279,-8.629554913,52.0
1550240400.0,41.153601822,-8.626405773,125.0
1550240400.0,41.161324138,-8.611830895,53.0
1550240400.0,41.1580591,-8.593734477,32.0
1550240400.0,41.151483646,-8.610390091,58.0
1550240700.0,41.166539033,-8.649082636,71.0
1550240700.0,41.162371957,-8.607796762,68.0
1550240700.0,41.165626846,-8.589150442,120.0
1550240700.0,41.145939321,-8.614814999,53.0
1550240400.0,41.14196707,-8.601236767,53.0
1550240400.0,41.163439687,-8.586598683,46.0
1550240400.0,41.152033081,-8.629054171,46.0
1550240700.0,41.167658788,-8.685827741,32.0
1550240700.0,41.149556735,-8.605197648,29.0
1550240400.0,41.160597126,-8.607924653,14.0
1550240400.0,41.158431424,-8.612251996,37.0
1550240700.0,41.165942037,-8.645901932,43.0
1550240700.0,41.151383847,-8.633068212,103.0
1550240700.0,41.148778656,-8.601570926,29.0
1550240700.0,41.147423726,-8.601377635,13.0
1550240700.0,41.1580591,-8.593734477,28.0
1550240700.0,41.150307786,-8.621021462,39.0
1550240700.0,41.160364701,-8.604247519,60.0
1550240700.0,41.159709663,-8.625744187,23.0
1550240700.0,41.151483646,-8.610390091,60.0
1550240700.0,41.151483646,-8.610390091,60.0
1550240700.0,41.155587612,-8.614529001,83.0
1550240700.0,41.14196707,-8.601236767,59.0
1550241000.0,41.153331017,-8.620961237,54.0
1550241000.0,41.145939321,-8.614814999,56.0
1550241000.0,41.145939321,-8.614814999,56.0
1550241000.0,41.163542956,-8.610940056,26.0
1550241000.0,41.163542956,-8.610940056,26.0
1550241000.0,41.1458062,-8.602672873,23.0
1550241000.0,41.14436322,-8.602712892,53.0
1550241000.0,41.153867715,-8.626385449,206.0
1550241000.0,41.166080594,-8.648756626,69.0
1550241000.0,41.14818831,-8.619779768,38.0
1550241000.0,41.145856146,-8.60080119,26.0
1550241000.0,41.145856146,-8.60080119,26.0
1550241000.0,41.164617606,-8.638706507,49.0
1550241000.0,41.14766599,-8.621315185,16.0
1550241000.0,41.16258976,-8.585198117,12.0
1550241000.0,41.147369859,-8.607427044,17.0
1550241000.0,41.156175101,-8.609280599,32.0
1550241000.0,41.156175101,-8.609280599,32.0
1550241000.0,41.141897761,-8.601642971,6.0
1550241000.0,41.167116071,-8.653050358,67.0
1550241000.0,41.162160252,-8.60585152,136.0
1550241000.0,41.166539033,-8.649082636,51.0
1550241000.0,41.162371957,-8.607796762,75.0
1550241000.0,41.162371957,-8.607796762,75.0
1550240700.0,41.147015683,-8.602823,43.0
1550240700.0,41.149155706,-8.603301018,27.0
1550240700.0,41.152451889,-8.634656116,24.0
1550240700.0,41.149983948,-8.611419801,94.0
1550240700.0,41.151349842,-8.62616789,256.0
1550240700.0,41.157671157,-8.626198587,38.0
1550240700.0,41.15069065,-8.592339047,25.0
1550240700.0,41.1458062,-8.602672873,16.0
1550240700.0,41.153601822,-8.626405773,194.0
1550240700.0,41.153601822,-8.626405773,194.0
1550241000.0,41.157671157,-8.626198587,28.0
1550241000.0,41.158431424,-8.612251996,45.0
1550241000.0,41.147037283,-8.609766423,112.0
1550241000.0,41.161324138,-8.611830895,56.0
1550241000.0,41.14739166,-8.61122876,40.0
1550241000.0,41.14739166,-8.61122876,40.0
1550241000.0,41.147423726,-8.601377635,24.0
1550241000.0,41.1580591,-8.593734477,35.0
1550241000.0,41.159709663,-8.625744187,24.0
1550241300.0,41.167658788,-8.685827741,38.0
1550241300.0,41.14487346,-8.610923185,57.0
1550241300.0,41.146040033,-8.605151837,19.0
1550241300.0,41.146153768,-8.59487941,39.0
1550241300.0,41.148390663,-8.612908525,33.0
1550241300.0,41.16494587,-8.589229784,25.0
1550241000.0,41.151582311,-8.633550736,9.0
1550241000.0,41.16367214,-8.634812433,119.0
1550241000.0,41.162814506,-8.606720392,45.0
1550241000.0,41.160597126,-8.607924653,13.0
1550241000.0,41.154544084,-8.604944712,5.0
1550241000.0,41.146040033,-8.605151837,35.0
1550241000.0,41.153431064,-8.620605141,54.0
1550241000.0,41.16494587,-8.589229784,26.0
1550241000.0,41.16494587,-8.589229784,26.0
1550241000.0,41.162582771,-8.611476868,41.0
1550241000.0,41.14798832,-8.608330842,7.0
1550241000.0,41.14798832,-8.608330842,7.0
1550241000.0,41.164189791,-8.611251794,42.0
1550241000.0,41.163439687,-8.586598683,51.0
1550241000.0,41.15579448,-8.6149763,86.0
1550241300.0,41.166657644,-8.652724317,75.0
1550241300.0,41.166657644,-8.652724317,75.0
1550241300.0,41.152679415,-8.632183454,70.0
1550241300.0,41.152679415,-8.632183454,70.0
1550241300.0,41.157671157,-8.626198587,47.0
1550241300.0,41.158431424,-8.612251996,29.0
1550241300.0,41.153601822,-8.626405773,193.0
1550241300.0,41.153601822,-8.626405773,193.0
1550241300.0,41.161324138,-8.611830895,52.0
1550241300.0,41.145933216,-8.621061124,17.0
1550241300.0,41.151383847,-8.633068212,114.0
1550241300.0,41.151383847,-8.633068212,114.0
1550241600.0,41.161668266,-8.610595199,63.0
1550241600.0,41.161668266,-8.610595199,63.0
1550241600.0,41.152451889,-8.634656116,29.0
1550241600.0,41.152451889,-8.634656116,29.0
1550241600.0,41.160597126,-8.607924653,12.0
1550241600.0,41.160597126,-8.607924653,12.0
1550241600.0,41.147015683,-8.602823,40.0
1550241600.0,41.146708106,-8.609970872,150.0
1550241600.0,41.146040033,-8.605151837,33.0
1550241600.0,41.151383847,-8.633068212,88.0
1550241600.0,41.145265777,-8.612094805,47.0
1550241300.0,41.167477169,-8.686556372,60.0
1550241300.0,41.160612259,-8.593339644,43.0
1550241300.0,41.164764795,-8.638299637,75.0
1550241300.0,41.162237036,-8.609409795,48.0
1550241300.0,41.16258976,-8.585198117,28.0
1550241300.0,41.147369859,-8.607427044,15.0
1550241300.0,41.167116071,-8.653050358,55.0
1550241300.0,41.166539033,-8.649082636,50.0
1550241600.0,41.152679415,-8.632183454,62.0
1550241600.0,41.162582771,-8.611476868,39.0
1550241600.0,41.164073206,-8.634834094,191.0
1550241600.0,41.167658788,-8.685827741,58.0
1550241600.0,41.161324138,-8.611830895,45.0
1550241600.0,41.161324138,-8.611830895,45.0
1550241600.0,41.166657644,-8.652724317,60.0
1550241600.0,41.163542956,-8.610940056,31.0
1550241300.0,41.162371957,-8.607796762,69.0
1550241300.0,41.165626846,-8.589150442,128.0
1550241300.0,41.163542956,-8.610940056,34.0
1550241300.0,41.1458062,-8.602672873,20.0
1550241300.0,41.148394894,-8.605364461,24.0
1550241300.0,41.148394894,-8.605364461,24.0
1550241300.0,41.14818831,-8.619779768,25.0
1550241300.0,41.14818831,-8.619779768,25.0
1550241600.0,41.153601822,-8.626405773,71.0
1550241600.0,41.146153768,-8.59487941,24.0
1550241600.0,41.145933216,-8.621061124,25.0
1550241600.0,41.165942037,-8.645901932,49.0
1550241600.0,41.14766599,-8.621315185,16.0
1550241600.0,41.147423726,-8.601377635,17.0
1550241300.0,41.16367214,-8.634812433,131.0
1550241300.0,41.160597126,-8.607924653,10.0
1550241300.0,41.160597126,-8.607924653,10.0
1550241300.0,41.147015683,-8.602823,42.0
1550241300.0,41.154544084,-8.604944712,8.0
1550241300.0,41.149983948,-8.611419801,126.0
1550241300.0,41.151483646,-8.610390091,71.0
1550241300.0,41.164189791,-8.611251794,43.0
1550241300.0,41.155587612,-8.614529001,70.0
1550241300.0,41.163439687,-8.586598683,37.0
1550241600.0,41.153431064,-8.620605141,47.0
1550241600.0,41.153431064,-8.620605141,47.0
1550241600.0,41.16494587,-8.589229784,26.0
1550241900.0,41.161324138,-8.611830895,49.0
1550241900.0,41.161324138,-8.611830895,49.0
1550241900.0,41.152748279,-8.629554913,63.0
1550241900.0,41.163542956,-8.610940056,34.0
1550241900.0,41.160612259,-8.593339644,44.0
1550241900.0,41.151582311,-8.633550736,8.0
1550241900.0,41.151582311,-8.633550736,8.0
1550241900.0,41.160825586,-8.611578898,25.0
1550241900.0,41.152451889,-8.634656116,24.0
1550241900.0,41.145939321,-8.614814999,63.0
1550241900.0,41.14487346,-8.610923185,71.0
1550241900.0,41.148394894,-8.605364461,16.0
1550241900.0,41.151349842,-8.62616789,231.0
1550241900.0,41.147545475,-8.600893098,20.0
1550241900.0,41.14818831,-8.619779768,26.0
1550241900.0,41.164617606,-8.638706507,78.0
1550241900.0,41.14739166,-8.61122876,37.0
1550241900.0,41.150307786,-8.621021462,27.0
1550241900.0,41.148390663,-8.612908525,27.0
1550241900.0,41.164764795,-8.638299637,79.0
1550241900.0,41.16258976,-8.585198117,15.0
1550241900.0,41.16258976,-8.585198117,15.0
1550241900.0,41.149155706,-8.603301018,39.0
1550241900.0,41.149155706,-8.603301018,39.0
1550241900.0,41.145265777,-8.612094805,37.0
1550241900.0,41.145265777,-8.612094805,37.0
