time,lat,long,windDirection
1550461837.0,41.148427049,-8.598081889,24.0
1550462176.0,41.148427049,-8.598081889,22.0
1550462551.0,41.148427049,-8.598081889,5.0
1550462929.0,41.148427049,-8.598081889,5.0
1550463109.0,41.148427049,-8.598081889,5.0
1550463472.0,41.148427049,-8.598081889,5.0
1550463655.0,41.148427049,-8.598081889,5.0
1550464026.0,41.148427049,-8.598081889,5.0
1550464260.0,41.148427049,-8.598081889,5.0
1550464563.0,41.148427049,-8.598081889,5.0
1550464965.0,41.148427049,-8.598081889,21.0
1550465134.0,41.148427049,-8.598081889,21.0
1550465513.0,41.148427049,-8.598081889,21.0
1550465890.0,41.148427049,-8.598081889,21.0
1550466064.0,41.148427049,-8.598081889,21.0
1550466451.0,41.148427049,-8.598081889,21.0
1550466633.0,41.148427049,-8.598081889,24.0
1550466988.0,41.148427049,-8.598081889,27.0
1550467351.0,41.148427049,-8.598081889,27.0
1550467534.0,41.148427049,-8.598081889,27.0
1550467899.0,41.148427049,-8.598081889,27.0
1550468277.0,41.148427049,-8.598081889,-130.0
1550468458.0,41.148427049,-8.598081889,-124.0
1550468827.0,41.148427049,-8.598081889,-130.0
1550469190.0,41.148427049,-8.598081889,-125.0
1550469364.0,41.148427049,-8.598081889,-130.0
1550469743.0,41.148427049,-8.598081889,-133.0
1550470110.0,41.148427049,-8.598081889,-132.0
1550470288.0,41.148427049,-8.598081889,-132.0
1550470680.0,41.148427049,-8.598081889,-130.0
1550470848.0,41.148427049,-8.598081889,-129.0
1550471230.0,41.148427049,-8.598081889,-128.0
1550471593.0,41.148427049,-8.598081889,-133.0
1550471774.0,41.148427049,-8.598081889,-134.0
1550472146.0,41.148427049,-8.598081889,-131.0
1550472355.0,41.148427049,-8.598081889,-121.0
1550472684.0,41.148427049,-8.598081889,-138.0
1550473076.0,41.148427049,-8.598081889,-153.0
1550473258.0,41.148427049,-8.598081889,-175.0
1550473624.0,41.148427049,-8.598081889,8.0
1550473830.0,41.148427049,-8.598081889,-177.0
1550474176.0,41.148427049,-8.598081889,-169.0
1550474538.0,41.148427049,-8.598081889,-169.0
1550474748.0,41.148427049,-8.598081889,-134.0
1550475091.0,41.148427049,-8.598081889,-125.0
1550475471.0,41.148427049,-8.598081889,-117.0
1550475837.0,41.148427049,-8.598081889,-125.0
1550476024.0,41.148427049,-8.598081889,-125.0
1550476396.0,41.148427049,-8.598081889,-131.0
1550476586.0,41.148427049,-8.598081889,-127.0
1550476965.0,41.148427049,-8.598081889,-174.0
1550477139.0,41.148427049,-8.598081889,-156.0
1550477524.0,41.148427049,-8.598081889,-135.0
1550477895.0,41.148427049,-8.598081889,-125.0
1550478073.0,41.148427049,-8.598081889,-163.0
1550478445.0,41.148427049,-8.598081889,5.0
1550478633.0,41.148427049,-8.598081889,7.0
1550478992.0,41.148427049,-8.598081889,-178.0
1550479374.0,41.148427049,-8.598081889,-162.0
1550479541.0,41.148427049,-8.598081889,-139.0
1550479905.0,41.148427049,-8.598081889,-112.0
1550480288.0,41.148427049,-8.598081889,-121.0
1550480468.0,41.148427049,-8.598081889,-135.0
1550480844.0,41.148427049,-8.598081889,-126.0
1550481215.0,41.148427049,-8.598081889,-115.0
1550481388.0,41.148427049,-8.598081889,-111.0
1550481766.0,41.148427049,-8.598081889,-124.0
1550481967.0,41.148427049,-8.598081889,-134.0
1550482341.0,41.148427049,-8.598081889,-127.0
