type,lat,long,value,category
School,41.161880241531925,-8.638366106938092,1,School
School,41.16660769905921,-8.639661298118648,1,School
School,41.159600099162674,-8.679913095078533,1,School
School,41.15184433709243,-8.670342962864844,1,School
School,41.14996541280469,-8.661132574613326,1,School
School,41.14306100847541,-8.604445633075336,1,School
School,41.17827650115463,-8.64570627644131,1,School
School,41.17393685111625,-8.641079858675191,1,School
School,41.16958481255368,-8.654691126057205,1,School
School,41.15109105071595,-8.654517789826967,1,School
School,41.15479872870223,-8.660382371998741,1,School
School,41.15113765334961,-8.647084860003782,1,School
School,41.15151490467868,-8.654080762597477,1,School
School,41.17122449990662,-8.584446400522738,1,School
School,41.170525595541974,-8.66132008163784,1,School
School,41.1704729165955,-8.66205092893528,1,School
School,41.17133633540339,-8.671509963133849,1,School
School,41.14323419686356,-8.616215059442771,1,School
School,41.17638909841599,-8.62078339047139,1,School
School,41.179866152647335,-8.611529377415076,1,School
School,41.17771633605708,-8.611563519482448,1,School
School,41.17632595088096,-8.61005620562864,1,School
School,41.14855421867669,-8.634232322248335,1,School
School,41.144988891778084,-8.621407409178701,1,School
School,41.15438159531659,-8.629773793876529,1,School
School,41.15390918888361,-8.630081189594074,1,School
School,41.14903137569128,-8.616072742202787,1,School
School,41.1707731359961,-8.653207730265107,1,School
School,41.148056048733,-8.59843674355199,1,School
School,41.14306100847541,-8.604445633075336,1,School
School,41.14913863774197,-8.616035256445743,1,School
School,41.154033857262654,-8.623831626076575,1,School
School,41.144988891778084,-8.621407409178701,1,School
School,41.141335888218904,-8.617589734810437,1,School
School,41.15373136044149,-8.648213992354577,1,School
School,41.16202307208651,-8.586682422064298,1,School
School,41.16087730074464,-8.599164768608777,1,School
School,41.1439675179957,-8.600066014156914,1,School
School,41.17336782456017,-8.581035792372912,1,School
School,41.177579205303225,-8.57174025071977,1,School
School,41.15908387995104,-8.574776643861156,1,School
School,41.159480626650556,-8.574992094047646,1,School
School,41.15604998627349,-8.579518128661235,1,School
School,41.148208951361816,-8.589724323660711,1,School
School,41.15584677141699,-8.589580602378037,1,School
School,41.145706869852766,-8.582832059644792,1,School
School,41.153136965365405,-8.568502834558803,1,School
School,41.16559190046392,-8.574255345858973,1,School
School,41.15660068909438,-8.616398700427386,1,School
School,41.15926930717176,-8.679541241870911,1,School
School,41.15234436158225,-8.670359645986371,1,School
School,41.17639661389532,-8.64414713229106,1,School
School,41.17021616023818,-8.599986741573378,1,School
School,41.1685197940122,-8.615093821096922,1,School
School,41.165806980933496,-8.614033946120484,1,School
School,41.16359701794343,-8.616669360006084,1,School
School,41.16552408922824,-8.609310576402773,1,School
School,41.16641741280756,-8.599759397389438,1,School
School,41.16859774973018,-8.622844915155465,1,School
School,41.169532283280645,-8.629194062264938,1,School
School,41.1730964031668,-8.658530349174555,1,School
School,41.15958890877244,-8.606827361648346,1,School
School,41.161746356443025,-8.660191319266133,1,School
School,41.168724978135295,-8.669055842812947,1,School
School,41.16425978664963,-8.66020745786323,1,School
School,41.15490763092633,-8.603410448650768,1,School
School,41.15403603901588,-8.59855201758957,1,School
School,41.15327313132537,-8.597605738365635,1,School
School,41.15498985566711,-8.611377939946365,1,School
School,41.155011153762935,-8.60669925588551,1,School
School,41.150950915599196,-8.612736216247077,1,School
School,41.16137917416425,-8.567443655300542,1,School
School,41.166172512951654,-8.573004763125958,1,School
