type,lat,long,value,category
Market,41.163486448240576,-8.66483122156132,1,Market
Market,41.15523662391236,-8.629757777469163,1,Market
Market,41.15664059616681,-8.63014783986757,1,Market
Market,41.15388996324749,-8.646886619775712,1,Market
Market,41.15702562538931,-8.627170718379336,1,Market
Market,41.155699517888195,-8.626617845258465,1,Market
Market,41.14619905765989,-8.614839353791002,1,Market
Market,41.14875713273442,-8.605257685341902,1,Market
Market,41.151261458904585,-8.598245568985286,1,Market
